,Product,Type,Release Date,Process Size (nm),TDP (W),Die Size (mm^2),Transistors (million),Freq (MHz),Foundry,Vendor,FP16 GFLOPS,FP32 GFLOPS,FP64 GFLOPS
3751,ATI Wii GPU,GPU,11/19/2006,90,45,95,107,243,NEC,ATI,,,
3752,AMD Radeon HD 7670M Rebrand,GPU,7/1/2012,40,20,104,716,600,TSMC,AMD,,576,
3753,AMD Radeon HD 6970M Mac Edition,GPU,8/25/2011,40,75,212,1700,680,TSMC,AMD,,1306,
3754,ATI Mobility Radeon X200 IGP,GPU,1/1/2005,110,,74,107,300,Unknown,ATI,,,
3755,ATI Radeon HD 2600 XT AGP,GPU,6/28/2007,55,45,135,378,722,TSMC,ATI,,173.3,
3756,ATI Mobility Radeon HD 3670,GPU,1/7/2008,55,30,135,378,680,TSMC,ATI,,163.2,
3757,NVIDIA GeForce GT 520,GPU,4/13/2011,40,29,79,292,810,TSMC,NVIDIA,,155.5,12.96
3758,AMD FirePro M6100,GPU,10/16/2013,28,,160,2080,1075,TSMC,AMD,,1651,103.2
3759,AMD Radeon R9 M380 Mac Edition,GPU,5/5/2015,28,,160,2080,900,TSMC,AMD,,1568,98.02
3760,AMD Radeon Pro WX 8200,GPU,8/13/2018,14,230,495,12500,1200,GF,AMD,21500,10750,672
3761,NVIDIA Quadro FX 1800,GPU,3/30/2009,65,59,240,505,550,TSMC,NVIDIA,,176,
3762,ATI Radeon X1650,GPU,2/1/2007,90,,150,157,500,TSMC,ATI,,,
3763,NVIDIA GeForce FX Go5650,GPU,3/1/2003,130,,121,80,325,TSMC,NVIDIA,,,
3764,ATI Radeon HD 2600 PRO AGP,GPU,6/28/2007,65,35,153,390,594,TSMC,ATI,,142.6,
3765,AMD Radeon HD 8280 Mobile IGP,GPU,9/18/2013,28,15,110,1178,450,TSMC,AMD,,115.2,7.2
3766,AMD Radeon Pro 555,GPU,6/5/2017,14,75,123,3000,850,GF,AMD,1306,1306,81.6
3767,ATI Radeon Xpress 1150 IGP,GPU,10/17/2007,110,,73,,400,Unknown,ATI,,,
3768,ATI Radeon HD 5630,GPU,2/15/2011,40,39,104,627,650,TSMC,ATI,,416,
3769,ATI Radeon X1550,GPU,1/1/2007,90,27,100,107,500,TSMC,ATI,,,
3770,AMD Radeon HD 6290,GPU,12/4/2011,40,19,59,292,650,TSMC,AMD,,104,
3771,AMD Radeon E9260 MXM,GPU,9/27/2016,14,50,123,3000,1090,GF,AMD,2150,2150,134.4
3772,AMD Radeon R5 M230,GPU,1/7/2014,28,,56,690,825,TSMC,AMD,,547.2,34.2
3773,AMD Radeon HD 8550M,GPU,7/13/2014,28,,56,690,650,TSMC,AMD,,544,34
3774,NVIDIA GeForce GTX 690,GPU,5/3/2012,28,300,294,3540,915,TSMC,NVIDIA,,3130,130.4
3775,Intel HD Graphics 615,GPU,8/30/2016,14,5,,,300,Intel,Intel,652.8,326.4,81.6
3776,AMD Radeon HD 6450M,GPU,1/4/2011,40,,67,370,600,TSMC,AMD,,192,
3777,NVIDIA GeForce FX Go5250,GPU,3/1/2003,150,,124,45,250,TSMC,NVIDIA,,,
3778,NVIDIA GeForce GT 710 OEM,GPU,4/9/2015,28,,87,1020,797,TSMC,NVIDIA,,306,12.75
3779,ATI Radeon HD 4580,GPU,11/20/2011,55,65,135,378,796,TSMC,ATI,,191,
3780,AMD Zhongshan Subor Z+ GPU,GPU,8/3/2018,14,100,397,,1300,TSMC,AMD,7987,3994,249.6
3781,AMD Radeon E9560 PCIe,GPU,10/15/2019,14,130,232,5700,1120,GF,AMD,5700,5700,356.3
3782,AMD Radeon Pro Vega 64X,GPU,3/19/2019,14,250,495,12500,1250,GF,AMD,24050,12030,751.6
3783,Intel HD Graphics 515,GPU,9/1/2015,14,15,123,,300,Intel,Intel,614.4,307.2,76.8
3784,NVIDIA GeForce4 Go 4200,GPU,11/14/2002,150,,101,36,200,TSMC,NVIDIA,,,
3785,AMD Radeon Vega 10 Mobile,GPU,4/8/2019,14,15,210,4940,300,GF,AMD,3584,1792,112
3786,AMD FirePro W5130M,GPU,10/2/2015,28,,123,1500,900,TSMC,AMD,,947.2,59.2
3787,AMD Radeon RX 580 Mobile,GPU,4/18/2017,14,100,232,5700,1000,GF,AMD,4963,4963,310.2
3788,NVIDIA Quadro Plex 7000,GPU,7/25/2011,40,600,520,3000,574,TSMC,NVIDIA,,1176,587.8
3789,ATI Mobility FireGL T2e,GPU,8/1/2004,130,,92,76,450,TSMC,ATI,,,
3790,NVIDIA Quadro FX 580,GPU,4/9/2009,55,40,121,314,450,TSMC,NVIDIA,,72,
3791,AMD Radeon HD 6510,GPU,5/14/2011,40,39,118,716,650,TSMC,AMD,,416,
3792,AMD Radeon R7 M350,GPU,5/5/2015,28,,125,1550,1000,TSMC,AMD,779.5,779.5,48.72
3793,NVIDIA GeForce Go 6150 + nForce Go 430,GPU,2/1/2006,90,,,,425,Unknown,NVIDIA,,,
3794,ATI Radeon HD 4350 PCI,GPU,9/30/2008,55,20,73,242,600,TSMC,ATI,,96,
3795,AMD Radeon HD 6970M Rebrand,GPU,1/4/2011,40,75,166,1040,800,TSMC,AMD,,1280,
3796,NVIDIA Quadro4 400 NVS PCI,GPU,7/16/2004,150,18,65,29,220,TSMC,NVIDIA,,,
3797,NVIDIA Quadro P520 Mobile,GPU,5/23/2019,14,18,74,1800,1303,Samsung,NVIDIA,17.92,1147,35.83
3798,Intel UHD Graphics G1,GPU,5/29/2019,10,15,,,300,Intel,Intel,921.6,460.8,115.2
3799,NVIDIA Quadro K2000D,GPU,3/1/2013,28,51,118,1270,954,TSMC,NVIDIA,,732.7,30.53
3800,NVIDIA GeForce GTS 260M,GPU,6/15/2009,40,38,144,727,550,TSMC,NVIDIA,,264,
3801,AMD Radeon Instinct MI100,GPU,11/16/2020,7,300,750,50000,1000,TSMC,AMD,184600,23070,11540
3802,ATI FireGL V5200,GPU,10/1/2005,90,35,150,157,600,TSMC,ATI,,,
3803,NVIDIA GeForce 9800M GTS,GPU,7/29/2008,65,75,240,505,600,TSMC,NVIDIA,,192,
3804,NVIDIA GeForce GTX 780 Ti,GPU,11/7/2013,28,250,561,7080,875,TSMC,NVIDIA,,5345,222.7
3805,ATI Radeon X1950 GT,GPU,1/29/2007,80,57,230,330,500,TSMC,ATI,,,
3806,NVIDIA Tesla V100 DGXS 32 GB,GPU,3/27/2018,12,250,815,21100,1297,TSMC,NVIDIA,31330,15670,7834
3807,AMD Radeon R9 M390X,GPU,5/5/2015,28,75,366,5000,723,TSMC,AMD,2961,2961,185.1
3808,NVIDIA GeForce 810A,GPU,7/22/2014,28,15,87,1020,719,TSMC,NVIDIA,,291.1,12.13
3809,AMD Radeon Vega 3 Embedded,GPU,7/16/2018,14,15,210,4940,300,GF,AMD,768.8,384.4,24.02
3810,NVIDIA GeForce GTX TITAN,GPU,2/19/2013,28,250,561,7080,836,TSMC,NVIDIA,,4709,1570
3811,ATI Radeon 3000 IGP,GPU,1/1/2009,65,,85,180,350,Unknown,ATI,,28,
3812,ATI Radeon X1950 GT AGP,GPU,2/10/2007,80,57,230,330,500,TSMC,ATI,,,
3813,NVIDIA Quadro FX 370M,GPU,8/15/2008,65,20,86,210,550,TSMC,NVIDIA,,22.4,
3814,ATI Radeon X800 XL,GPU,12/1/2004,130,49,297,160,400,TSMC,ATI,,,
3815,NVIDIA Quadro FX 5500,GPU,4/20/2006,90,96,196,278,650,TSMC,NVIDIA,,,
3816,NVIDIA Tesla K20s,GPU,2/18/2013,28,225,561,7080,575,TSMC,NVIDIA,,2870,956.8
3817,AMD Radeon RX 590 GME,GPU,3/9/2020,14,175,232,5700,1257,GF,AMD,6359,6359,397.4
3818,AMD Radeon HD 8400 Mobile IGP,GPU,11/23/2013,28,25,110,1178,600,TSMC,AMD,,153.6,9.6
3819,AMD Radeon R9 M395 Mac Edition,GPU,5/5/2015,28,250,366,5000,834,TSMC,AMD,,2989,373.6
3820,AMD Radeon R9 M365X,GPU,5/5/2015,28,,123,1500,900,TSMC,AMD,,1184,74
3821,NVIDIA ION,GPU,6/3/2008,65,20,162,282,575,Unknown,NVIDIA,,48,
3822,NVIDIA GeForce GT 755M Mac Edition,GPU,11/8/2013,28,50,118,1270,1085,TSMC,NVIDIA,,833.3,34.72
3823,AMD Radeon Vega 3  Embedded,GPU,1/1/2019,14,10,210,4940,300,GF,AMD,768.8,384.4,24.02
3824,NVIDIA Quadro T1000 Mobile,GPU,NaT,12,50,200,4700,1065,TSMC,NVIDIA,5000,2500,78.12
3825,AMD Radeon HD 6620G IGP,GPU,12/7/2011,32,35,227,1178,444,TSMC,AMD,,355.2,
3826,NVIDIA GeForce GT 545 OEM,GPU,5/14/2011,40,105,238,1170,871,TSMC,NVIDIA,,501.4,41.78
3827,Intel HD Graphics 610,GPU,8/30/2016,14,5,,,300,Intel,Intel,345.6,172.8,43.2
3828,ATI Radeon X550 XT,GPU,1/24/2007,110,,156,120,400,TSMC,ATI,,,
3829,NVIDIA TITAN RTX,GPU,12/18/2018,12,280,754,18600,1350,TSMC,NVIDIA,32620,16310,509.8
3830,ATI FireMV 2200 PCI,GPU,1/1/2006,150,15,98,36,240,UMC,ATI,,,
3831,3dfx Voodoo4 4800 AGP,GPU,NaT,250,15,112,14,166,TSMC,Other,,,
3832,NVIDIA GeForce Go 6600 TE,GPU,9/29/2005,110,,154,146,225,TSMC,NVIDIA,,,
3833,NVIDIA GeForce 9800M GTS,GPU,8/21/2008,65,75,240,505,600,TSMC,NVIDIA,,192,
3834,NVIDIA GeForce 930MX,GPU,3/1/2016,28,17,,,952,TSMC,NVIDIA,,783.4,24.48
3835,ATI Mobility FireGL V5200,GPU,2/1/2006,90,,150,157,425,TSMC,ATI,,,
3836,NVIDIA GeForce 210 OEM,GPU,9/4/2009,40,31,100,486,475,TSMC,NVIDIA,,35.2,
3837,ATI FireGL V3600,GPU,6/28/2007,65,73,153,390,600,TSMC,ATI,,144,
3838,NVIDIA Quadro P500 Mobile,GPU,1/5/2018,14,18,74,1800,1455,Samsung,NVIDIA,12.14,777.2,24.29
3839,AMD FireStream 9370,GPU,6/23/2010,40,225,334,2154,825,TSMC,AMD,,2640,528
3840,NVIDIA GeForce 405 OEM,GPU,9/3/2010,40,25,100,486,475,TSMC,NVIDIA,,105.6,
3841,NVIDIA GeForce GTX 760 X2,GPU,11/19/2013,28,250,294,3540,1006,TSMC,NVIDIA,,2470,102.9
3842,NVIDIA GeForce GTX 1650,GPU,4/23/2019,12,75,200,4700,1485,TSMC,NVIDIA,5967,2984,93.24
3843,AMD Radeon RX 6900 XT,GPU,10/28/2020,7,300,520,26800,1825,TSMC,AMD,46080,23040,1440
3844,NVIDIA GeForce4 MX + nForce2,GPU,10/1/2002,150,,65,29,200,Unknown,NVIDIA,,,
3845,NVIDIA CMP 40HX,GPU,2/25/2021,12,185,445,10800,1470,TSMC,NVIDIA,15210,7603,237.6
3846,NVIDIA Quadro 2000M,GPU,1/13/2011,40,55,238,1170,550,TSMC,NVIDIA,,422.4,35.2
3847,Intel HD Graphics,GPU,10/1/2012,22,45,94,392,350,Intel,Intel,,96,24
3848,AMD Radeon R2 Mobile Graphics,GPU,1/28/2015,28,100,107,930,497,GF,AMD,,127.2,7.952
3849,NVIDIA GeForce 6150,GPU,10/11/2004,90,,,,475,Unknown,NVIDIA,,,
3850,NVIDIA Quadro NVS 510M,GPU,8/21/2006,90,35,196,278,450,TSMC,NVIDIA,,,
3851,ATI Mobility FireGL V5250,GPU,1/1/2007,90,,150,157,450,TSMC,ATI,,,
3852,NVIDIA GeForce GTX 880M,GPU,3/12/2014,28,122,294,3540,954,TSMC,NVIDIA,,3050,127.1
3853,ATI Mobility Radeon HD 545v,GPU,5/5/2010,55,15,73,242,720,TSMC,ATI,,115.2,
3854,NVIDIA GeForce GTX 1050 Ti Mobile,GPU,1/3/2017,14,75,132,3300,1493,Samsung,NVIDIA,38.88,2488,77.76
3855,AMD Radeon Instinct MI60,GPU,11/18/2018,7,300,331,13230,1200,TSMC,AMD,29490,14750,7373
3856,NVIDIA GeForce4 MX 440-8x,GPU,9/25/2002,150,,65,29,275,TSMC,NVIDIA,,,
3857,AMD Stream Processor,GPU,1/1/2006,90,165,352,384,594,TSMC,AMD,,,
3858,AMD FirePro S10000 Passive,GPU,11/12/2012,28,375,352,4313,825,TSMC,AMD,,3405,851.2
3859,NVIDIA Tesla X2070,GPU,7/25/2011,40,225,520,3000,651,TSMC,NVIDIA,,1332,666.1
3860,AMD Radeon RX Vega 56,GPU,8/14/2017,14,210,495,12500,1156,GF,AMD,21090,10540,659
3861,NVIDIA GeForce GT 520 PCI,GPU,4/13/2011,40,29,79,292,810,TSMC,NVIDIA,,155.5,12.96
3862,NVIDIA NVS 5200M,GPU,6/1/2012,28,25,116,585,625,TSMC,NVIDIA,,240,20
3863,NVIDIA NVS 5400M,GPU,6/1/2012,40,35,116,585,660,TSMC,NVIDIA,,253.4,21.12
3864,NVIDIA Quadro FX 540,GPU,8/9/2004,110,25,154,146,300,TSMC,NVIDIA,,,
3865,ATI Radeon X1300 PCI,GPU,10/5/2005,80,,100,107,450,UMC,ATI,,,
3866,AMD Radeon HD 8490 OEM,GPU,7/23/2013,40,35,67,370,875,TSMC,AMD,,280,
3867,NVIDIA GeForce GTX 1660 SUPER,GPU,10/29/2019,12,125,284,6600,1530,TSMC,NVIDIA,10050,5027,157.1
3868,ATI Radeon E2400,GPU,6/28/2007,65,25,85,180,600,TSMC,ATI,,48,
3869,ATI Radeon X1800 XT,GPU,10/1/2005,90,113,288,321,600,TSMC,ATI,,,
3870,AMD Radeon R7 M260DX,GPU,1/7/2014,28,,56,690,780,TSMC,AMD,,547.2,34.2
3871,Intel UHD Graphics 730,GPU,1/1/2021,14,15,,,300,Intel,Intel,998.4,499.2,124.8
3872,ATI Radeon DDR VIVO,GPU,8/14/2001,180,,115,30,183,TSMC,ATI,,,
3873,AMD Radeon HD 7650M,GPU,1/7/2012,40,20,104,716,450,TSMC,AMD,,432,
3874,ATI Mobility Radeon 7500,GPU,12/1/2001,150,27,68,60,230,TSMC,ATI,,,
3875,XGI Volari Duo V5 Ultra,GPU,9/15/2003,130,,,90,350,UMC,Other,,,
3876,NVIDIA A10G,GPU,4/12/2021,8,150,628,28300,1320,Samsung,NVIDIA,31520,31520,985
3877,ATI Radeon HD 4350 PCIe x1,GPU,9/30/2008,55,20,73,242,600,TSMC,ATI,,96,
3878,Intel Iris Xe Graphics G7 96EU,GPU,9/2/2020,10,15,146,,300,Intel,Intel,3379,1690,422.4
3879,NVIDIA GeForce GTX 1050,GPU,10/25/2016,14,75,132,3300,1354,Samsung,NVIDIA,29.1,1862,58.2
3880,AMD Radeon HD 6510,GPU,5/14/2011,40,39,104,627,650,TSMC,AMD,,520,
3881,ATI Mobility Radeon HD 3410,GPU,7/25/2008,55,7,67,181,400,TSMC,ATI,,32,
3882,Matrox QID,GPU,12/17/2004,0,,,,250,UMC,Other,,,
3883,AMD Radeon RX Vega Nano,GPU,NaT,14,175,495,12500,1247,GF,AMD,,12660,791.6
3884,AMD Radeon R9 M395X,GPU,5/5/2015,28,75,366,5000,723,TSMC,AMD,2961,2961,185.1
3885,NVIDIA GeForce 320M,GPU,4/1/2010,40,23,100,486,450,Unknown,NVIDIA,,91.2,
3886,ATI Mobility Radeon X800 XT,GPU,6/1/2005,130,,289,160,480,TSMC,ATI,,,
3887,NVIDIA Switch GPU 20nm,GPU,3/17/2017,20,15,118,2000,384,TSMC,NVIDIA,786.4,393.2,12.29
3888,AMD Radeon Pro 5600M,GPU,6/15/2020,7,50,,,1000,TSMC,AMD,10600,5299,331.2
3889,Intel UHD Graphics 615,GPU,11/7/2018,14,15,,,300,Intel,Intel,691.2,345.6,86.4
3890,NVIDIA GeForce GT 230 OEM,GPU,4/27/2009,55,75,260,754,500,TSMC,NVIDIA,,240,
3891,NVIDIA Tesla P6,GPU,3/24/2017,16,90,314,7200,1012,TSMC,NVIDIA,96.38,6169,192.8
3892,AMD Radeon HD 8850M,GPU,4/1/2013,28,,123,1500,575,TSMC,AMD,,800,50
3893,NVIDIA GeForce 705M,GPU,NaT,40,15,79,292,738,TSMC,NVIDIA,,141.7,11.81
3894,NVIDIA GeForce GTX 1080 Ti,GPU,3/10/2017,16,250,471,11800,1481,TSMC,NVIDIA,177.2,11340,354.4
3895,NVIDIA GeForce GT 330 OEM,GPU,2/2/2010,65,75,324,754,500,TSMC,NVIDIA,,240,
3896,AMD FirePro W4170M,GPU,4/23/2015,28,,77,950,825,TSMC,AMD,,691.2,43.2
3897,AMD Xbox One S GPU,GPU,8/2/2016,16,95,240,5000,914,TSMC,AMD,,1404,
3898,AMD Radeon RX 580X Mobile,GPU,4/11/2018,14,100,232,5700,1000,GF,AMD,4963,4963,310.2
3899,NVIDIA GRID K520Q,GPU,7/2/2014,28,225,294,3540,745,TSMC,NVIDIA,,2289,95.36
3900,AMD Radeon HD 8530M,GPU,1/10/2014,28,,77,950,650,TSMC,AMD,,448,28
3901,NVIDIA GeForce 8200M G mGPU Intel,GPU,6/3/2008,65,12,144,314,400,Unknown,Intel,,25.6,
3902,ATI Radeon X800 XT Platinum,GPU,3/1/2004,130,63,289,160,520,TSMC,ATI,,,
3903,NVIDIA GeForce GT 430,GPU,10/11/2010,40,49,116,585,700,TSMC,NVIDIA,,268.8,22.4
3904,AMD Radeon R7 M270,GPU,1/9/2014,28,,77,950,725,TSMC,AMD,,633.6,
3905,AMD Radeon Vega 6 Embedded,GPU,5/10/2018,14,15,210,4940,300,GF,AMD,1966,983,61.44
3906,NVIDIA GeForce Go 7700,GPU,8/1/2006,90,,125,177,450,TSMC,NVIDIA,,,
3907,NVIDIA Tesla C2075,GPU,7/25/2011,40,247,520,3000,574,TSMC,NVIDIA,,1028,513.9
3908,AMD Radeon RX 560X Mobile,GPU,4/11/2018,14,65,123,3000,1275,GF,AMD,2611,2611,163.2
3909,ATI Radeon X1050,GPU,1/25/2008,110,24,156,120,400,TSMC,ATI,,,
3910,AMD FirePro S9150,GPU,8/7/2014,28,235,438,6200,900,TSMC,AMD,,5069,2534
3911,NVIDIA A100 PCIe,GPU,6/22/2020,7,250,826,54200,765,TSMC,NVIDIA,77970,19490,9746
3912,AMD Radeon R9 FURY,GPU,7/10/2015,28,275,596,8900,1000,TSMC,AMD,7168,7168,448
3913,NVIDIA Quadro P3200 Max-Q,GPU,2/21/2018,16,75,314,7200,1139,TSMC,NVIDIA,78.62,5032,157.2
3914,ATI Mobility Radeon HD 5570,GPU,11/23/2012,40,20,104,627,550,TSMC,ATI,,440,
3915,Matrox Millenium P750,GPU,1/2/2002,150,,,80,250,UMC,Other,,,
3916,AMD Radeon RX 560,GPU,4/18/2017,14,75,123,3000,1175,GF,AMD,2611,2611,163.2
3917,AMD Radeon R6 Mobile Graphics,GPU,9/17/2014,28,17,245,2410,533,GF,AMD,,409.3,25.58
3918,NVIDIA GeForce GTX 675MX,GPU,10/1/2012,28,100,294,3540,654,TSMC,NVIDIA,,1256,52.32
3919,NVIDIA GeForce 6100,GPU,10/11/2004,90,,,,425,Unknown,NVIDIA,,,
3920,NVIDIA GeForce 945M,GPU,10/27/2015,28,75,148,1870,928,TSMC,NVIDIA,,1306,40.8
3921,ATI FireGL V8600,GPU,5/14/2007,80,159,420,720,688,TSMC,ATI,,440.3,
3922,ATI Radeon HD 4670 X2,GPU,9/10/2008,55,118,146,514,750,TSMC,ATI,,480,
3923,AMD Radeon RX 560X Mobile,GPU,1/9/2019,14,65,123,3000,1223,GF,AMD,2192,2192,137
3924,ATI Radeon X800 GTO2,GPU,9/15/2005,130,,297,160,400,TSMC,ATI,,,
3925,NVIDIA GeForce GT 420 OEM,GPU,9/3/2010,40,50,116,585,700,TSMC,NVIDIA,,134.4,11.2
3926,AMD Radeon Vega 8 Mobile,GPU,10/26/2017,14,65,210,4940,300,GF,AMD,2255,1127,70.46
3927,AMD Radeon HD 8470D IGP,GPU,7/29/2013,32,65,246,1303,800,TSMC,AMD,,307.2,
3928,NVIDIA GeForce4 MX 440,GPU,2/6/2002,150,,65,29,275,TSMC,NVIDIA,,,
3929,ATI Mobility Radeon 9000 IGP,GPU,5/1/2003,150,,92,76,222,Unknown,ATI,,,
3930,NVIDIA Tesla K40t,GPU,11/22/2013,28,245,561,7080,745,TSMC,NVIDIA,,5046,1682
3931,NVIDIA GeForce RTX 2070 Mobile Refresh,GPU,3/4/2020,12,115,445,10800,1260,TSMC,NVIDIA,13410,6705,209.5
3932,Intel HD Graphics 4400,GPU,9/3/2013,22,20,,,200,Intel,Intel,,304,76
3933,NVIDIA Quadro P620,GPU,2/1/2018,14,40,132,3300,1266,Samsung,NVIDIA,21.66,1386,43.33
3934,AMD Radeon RX 560X Mobile,GPU,4/11/2018,14,65,123,3000,1275,GF,AMD,2611,2611,163.2
3935,NVIDIA GeForce2 PRO,GPU,12/5/2000,150,,88,25,200,TSMC,NVIDIA,,,
3936,AMD Radeon HD 6350M,GPU,11/26/2010,40,7,59,292,500,TSMC,AMD,,80,
3937,AMD Radeon RX 5700,GPU,7/7/2019,7,180,251,10300,1465,TSMC,AMD,15900,7949,496.8
3938,NVIDIA GRID M60-1Q,GPU,8/30/2015,28,225,398,5200,557,TSMC,NVIDIA,,4825,150.8
3939,ATI Mobility Radeon HD 4350,GPU,1/9/2009,55,,73,242,450,TSMC,ATI,,72,
3940,AMD Radeon HD 6330M,GPU,11/26/2010,40,7,59,292,500,TSMC,AMD,,80,
3941,NVIDIA GeForce 7600 GT Mac Edition,GPU,9/2/2006,90,40,125,177,560,TSMC,NVIDIA,,,
3942,NVIDIA GeForce GT 650M Mac Edition,GPU,7/12/2012,28,45,118,1270,900,TSMC,NVIDIA,,691.2,28.8
3943,ATI FireGL 9600 T2-128,GPU,10/1/2003,130,,76,60,398,TSMC,ATI,,,
3944,NVIDIA GeForce FX Go5200 32M,GPU,3/1/2003,150,,124,45,200,TSMC,NVIDIA,,,
3945,AMD Radeon HD 8330 Mobile IGP,GPU,8/13/2013,28,15,110,1178,497,TSMC,AMD,,127.2,7.952
3946,NVIDIA GeForce 8800 GS,GPU,1/31/2008,65,105,324,754,550,TSMC,NVIDIA,,264,
3947,NVIDIA GeForce 6200 AGP,GPU,4/4/2005,110,,110,75,350,TSMC,NVIDIA,,,
3948,AMD Radeon R7 M365X,GPU,5/5/2015,28,,56,690,900,TSMC,AMD,,737.3,46.08
3949,ATI Radeon HD 2900 GT,GPU,11/6/2007,80,150,420,720,601,TSMC,ATI,,288.5,
3950,NVIDIA GeForce GTX 560M,GPU,5/30/2011,40,75,238,1170,775,TSMC,NVIDIA,,595.2,49.6
3951,AMD Radeon Pro 570X,GPU,3/18/2019,14,150,232,5700,1000,GF,AMD,3960,3960,247.5
3952,NVIDIA Quadro FX 2800M,GPU,12/1/2009,65,75,324,754,600,TSMC,NVIDIA,,288,
3953,NVIDIA GeForce GTX 770M,GPU,5/30/2013,28,75,221,2540,706,TSMC,NVIDIA,,1530,63.76
3954,ATI Radeon X600 XT,GPU,9/1/2004,130,25,92,75,500,TSMC,ATI,,,
3955,AMD Radeon Pro V320,GPU,6/29/2017,14,230,495,12500,852,GF,AMD,16380,8192,512
3956,ATI All-In-Wonder X600 PRO,GPU,7/1/2005,110,,74,107,400,TSMC,ATI,,,
3957,ATI Radeon X800 PRO AGP,GPU,5/1/2004,130,48,281,160,475,TSMC,ATI,,,
3958,ATI Mobility Radeon X1450,GPU,9/18/2006,80,,100,107,550,UMC,ATI,,,
3959,NVIDIA Quadro FX 3000G,GPU,7/22/2003,130,,207,135,400,TSMC,NVIDIA,,,
3960,NVIDIA Quadro FX 1700M,GPU,10/1/2008,65,50,144,314,625,UMC,NVIDIA,,99.2,
3961,ATI Radeon HD 5570 OEM,GPU,2/9/2010,40,39,104,627,550,TSMC,ATI,,352,
3962,ATI Mobility Radeon HD 4225 IGP,GPU,5/1/2010,55,9,67,181,380,Unknown,ATI,,30.4,
3963,NVIDIA GeForce GTX 1660 Ti Max-Q,GPU,4/23/2019,12,,284,6600,1140,TSMC,NVIDIA,8202,4101,128.2
3964,AMD Radeon HD 8510 OEM,GPU,7/23/2013,40,60,118,716,650,TSMC,AMD,,624,
3965,NVIDIA Quadro FX 1300,GPU,8/9/2004,130,55,207,135,350,TSMC,NVIDIA,,,
3966,ATI Radeon HD 4200 IGP,GPU,8/1/2009,55,,67,181,500,Unknown,ATI,,40,
3967,NVIDIA GeForce Go 6800 Ultra,GPU,2/24/2005,130,89,225,222,450,TSMC,NVIDIA,,,
3968,NVIDIA GeForce GT 610 PCIe x1,GPU,4/2/2012,40,29,79,292,810,TSMC,NVIDIA,,155.5,12.96
3969,NVIDIA GeForce GT 330 OEM,GPU,2/2/2010,40,75,144,727,550,TSMC,NVIDIA,,257.3,
3970,NVIDIA GRID K120Q,GPU,7/2/2014,28,130,118,1270,850,TSMC,NVIDIA,,326.4,13.6
3971,AMD Radeon R7 A360,GPU,1/1/2015,28,,125,1550,900,TSMC,AMD,,752.6,
3972,NVIDIA Quadro K5000 SYNC,GPU,1/25/2013,28,122,294,3540,706,TSMC,NVIDIA,,2169,90.37
3973,NVIDIA P106-100,GPU,6/19/2017,16,120,200,4400,1506,TSMC,NVIDIA,68.36,4375,136.7
3974,ATI Radeon HD 3850 X2,GPU,4/4/2008,55,140,192,666,669,TSMC,ATI,,428.2,85.63
3975,ATI Mobility FireGL V5700,GPU,1/7/2008,55,,135,378,600,TSMC,ATI,,144,
3976,ATI Radeon HD 2950 PRO,GPU,NaT,55,75,192,666,600,TSMC,ATI,,384,76.8
3977,AMD FirePro A320,GPU,6/6/2012,32,100,246,1303,800,TSMC,AMD,,733.4,
3978,ATI FirePro M5725,GPU,1/9/2009,55,35,146,514,675,TSMC,ATI,,432,
3979,ATI Radeon HD 5690,GPU,2/1/2011,40,64,104,627,775,TSMC,ATI,,620,
3980,ATI Radeon HD 3830,GPU,4/1/2008,55,75,192,666,668,TSMC,ATI,,427.5,85.5
3981,AMD Radeon HD 7490M,GPU,1/7/2012,40,9,67,370,800,TSMC,AMD,,256,
3982,NVIDIA GeForce PCX 5900,GPU,3/17/2003,130,,207,135,350,TSMC,NVIDIA,,,
3983,NVIDIA GeForce 6600 GT,GPU,8/12/2004,110,,154,146,500,TSMC,NVIDIA,,,
3984,AMD Radeon HD 8670M,GPU,3/1/2013,28,,77,950,775,TSMC,AMD,,633.6,
3985,NVIDIA Quadro K6000 SDI,GPU,7/23/2013,28,239,561,7080,902,TSMC,NVIDIA,,5196,1732
3986,AMD Radeon HD 7590M,GPU,1/7/2012,40,18,104,716,600,TSMC,AMD,,576,
3987,NVIDIA GeForce 8200,GPU,4/17/2007,80,40,127,210,500,Unknown,NVIDIA,,38.4,
3988,ATI Radeon X1900 G5 Mac Edition,GPU,11/6/2006,90,75,352,384,575,TSMC,ATI,,,
3989,NVIDIA GeForce GT 220 OEM,GPU,10/12/2009,40,58,144,727,506,TSMC,NVIDIA,,97.15,
3990,AMD Radeon RX Vega 11 Mobile,GPU,10/22/2019,14,15,210,4940,300,GF,AMD,3942,1971,123.2
3991,NVIDIA GeForce 8300 GS,GPU,4/17/2007,80,40,127,210,459,TSMC,NVIDIA,,14.69,
3992,NVIDIA Tesla V100 SXM3 32 GB,GPU,3/27/2018,12,250,815,21100,1290,TSMC,NVIDIA,31330,15670,7834
3993,NVIDIA GeForce 9800M GS,GPU,11/1/2008,65,60,240,505,530,TSMC,NVIDIA,,169.6,
3994,Intel Iris Plus Graphics 655,GPU,4/3/2018,14,15,,,300,Intel,Intel,1613,806.4,201.6
3995,AMD Radeon HD 6770M,GPU,1/4/2011,40,35,104,716,725,TSMC,AMD,,696,
